SEQN,OCQ130,OCQ150,OCQ160,OCQ180,OCQ210,OCD230,OCD240,OCQ260,OCD270,OCQ280,OCQ290G,OCQ290Q,OCQ300,OCQ310A,OCQ310B,OCQ310C,OCQ330A,OCQ330B,OCQ330C,OCQ330D,OCQ330E,OCQ340,OCQ350,OCQ360,OCQ380,OCQ390G,OCD390,OCD395,OCQ420,OCQ430,OCQ440,OCQ450,OCQ470G,OCD470,OCD480,RIAGENDR
2.0,,2.0,2.0,,1.0,38.0,13.0,1.0,168.0,1.0,2.0,,2.0,,,,,,,,,2.0,,,,1.0,9.0,300.0,,,,,,,,Male
5.0,,1.0,,40.0,,19.0,1.0,1.0,48.0,1.0,2.0,,2.0,,,,,,,,,2.0,,,,2.0,,,,,,,,,,Male
6.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,16.0,3.0,2.0,,,,,,,Female
7.0,,1.0,,45.0,,27.0,23.0,1.0,36.0,1.0,2.0,,1.0,2.0,2.0,1.0,1.0,2.0,3.0,,,2.0,,,,2.0,,,,,,,,,,F  
8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,M
10.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,38.0,120.0,1.0,1.0,8.0,1.0,,,,Male
11.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
12.0,,1.0,,53.0,,40.0,16.0,4.0,12.0,1.0,2.0,,2.0,,,,,,,,,1.0,1.0,1.0,,1.0,18.0,72.0,,2.0,,,,,,Male
13.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,32.0,456.0,2.0,,,,,,,M
14.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,37.0,0.0,1.0,2.0,,,,,,M
15.0,,1.0,,4.0,2.0,31.0,15.0,5.0,3.0,2.0,2.0,,2.0,,,,,,,,,2.0,,,,1.0,1.0,120.0,,,,,,,,Female
16.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,17.0,12.0,2.0,,,,,,,Female
20.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,48.0,2.0,,,,,,,F
21.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,11.0,3.0,2.0,,,,,,,Male
22.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female
23.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  Female
24.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,9.0,120.0,2.0,,,,,,,Female
25.0,,1.0,,32.0,2.0,19.0,16.0,1.0,3.0,2.0,2.0,,2.0,,,,,,,,,2.0,,,,1.0,14.0,240.0,,,,,1.0,16.0,29.0,F
26.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female
27.0,,1.0,,6.0,2.0,36.0,6.0,5.0,48.0,2.0,9.0,,2.0,,,,,,,,,1.0,1.0,4.0,,2.0,,,,,,,,,,Male
28.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,39.0,10.0,1.0,1.0,1.0,2.0,,,,Male
29.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,38.0,336.0,1.0,1.0,8.0,1.0,,,,M  
31.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F 
33.0,,1.0,,60.0,,27.0,21.0,1.0,12.0,1.0,2.0,,1.0,2.0,2.0,1.0,1.0,,,,,2.0,,,,2.0,,,,,,,4.0,,,M
34.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,5.0,132.0,2.0,,,,,,,Female
40.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,7.0,4.0,,,,,,,,,,Female
42.0,,1.0,,40.0,,27.0,11.0,1.0,3.0,2.0,2.0,,2.0,,,,,,,,,2.0,,,,2.0,,,,,,,,,,Female
44.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, F
45.0,,,,45.0,,19.0,,,36.0,,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,
46.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,23.0,204.0,2.0,,,,,,,F
47.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,11.0,2.0,2.0,,,,,,,Female
49.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male
52.0,,1.0,,35.0,,31.0,23.0,1.0,12.0,2.0,2.0,,1.0,2.0,2.0,1.0,1.0,,,,,2.0,,,,2.0,,,,,,,,,,Female
53.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,,,,,,,, Female
55.0,,1.0,,27.0,2.0,40.0,5.0,3.0,120.0,1.0,2.0,,2.0,,,,,,,,,2.0,,,,1.0,98.0,288.0,,,,,,,,Female
56.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,20.0,36.0,2.0,,,,,,,Male
57.0,,2.0,2.0,,1.0,40.0,5.0,1.0,84.0,1.0,2.0,,2.0,,,,,,,,,2.0,,,,2.0,,,,,,,,,,Male 
58.0,,1.0,,38.0,,27.0,11.0,1.0,4.0,2.0,2.0,,2.0,,,,,,,,,2.0,,,,2.0,,,,,,,,,,F
59.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,98.0,540.0,2.0,,,,,,,  Male
62.0,,1.0,,20.0,2.0,23.0,11.0,1.0,9.0,2.0,2.0,,2.0,,,,,,,,,2.0,,,,2.0,,,,,,,2.0,,,F
64.0,,1.0,,50.0,,7.0,32.0,1.0,60.0,2.0,1.0,1.0,2.0,,,,,,,,,2.0,,,,1.0,14.0,120.0,,,,,,,,Female
